id,name,category,reason,notes
bond-color-星核猎手,星核猎手,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-贝洛伯格,贝洛伯格,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-公司,公司,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-星间旅人,星间旅人,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-巡海游侠,巡海游侠,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-昼之半神,昼之半神,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-夜之半神,夜之半神,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-银河学者,银河学者,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-盛会之星,盛会之星,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-狼狩,狼狩,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-列车同行,列车同行,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-仙舟,仙舟,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-治疗,治疗,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-持续伤害,持续伤害,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-护盾,护盾,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-击破,击破,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-减益,减益,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-能量,能量,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-群攻,群攻,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-燃血,燃血,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-追击,追击,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-量子同频,量子同频,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-战技点,战技点,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-救世主,救世主,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-大守护者,大守护者,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-命运卜者,命运卜者,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-挚爱之人,挚爱之人,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-魔术师,魔术师,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-欢愉,欢愉,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-头号玩家,头号玩家,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-命运圣杯,命运圣杯,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-领航员,领航员,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
bond-color-师徒,师徒,bond_state,Higher active-tier background colour not verified from a distinct official asset,"Matrix keeps each population state, but no blue/gold variant is fabricated."
